time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
0.925,4.540280117,0,0.176519
0.93,4.540280117,0,0.177727
0.935,4.593059588,0,0.175462
0.94,4.568429201,0,0.177425
0.945,4.571947416,0,0.177123
0.95,4.603615194,0,0.176368
0.955,4.533242727,0,0.178784
0.96,4.540280117,0,0.177425
0.965,4.586022197,0,0.17969
0.97,4.550835723,0,0.177123
0.975,4.582503502,0,0.180143
0.98,4.600096499,0,0.17667
0.985,4.56139181,0,0.179841
0.99,4.540280117,0,0.177425
0.995,4.564910505,0,0.176217
1,4.593059588,0,0.176972
1.005,4.547317028,0,0.176368
1.01,4.582503502,0,0.176972
1.015,4.568429201,0,0.17516
1.02,4.52268664,0,0.175915
1.025,4.575466111,0,0.176217
1.03,4.547317028,0,0.177123
1.035,4.557873114,0,0.176519
1.04,4.571947416,0,0.177576
1.045,4.571947416,0,0.175764
1.05,4.550835723,0,0.17516
1.055,4.512131034,0,0.177123
1.06,4.589540893,0,0.17667
1.065,4.575466111,0,0.17818
1.07,4.56139181,0,0.17667
1.075,4.589540893,0,0.176217
1.08,4.575466111,0,0.177576
1.085,4.529724031,0,0.175613
1.09,4.52268664,0,0.175764
1.095,4.589540893,0,0.176066
1.1,4.571947416,0,0.175915
1.105,4.554354419,0,0.175009
1.11,4.596578284,0,0.175009
1.115,4.550835723,0,0.177425
1.12,4.508612339,0,0.174707
1.125,4.582503502,0,0.174405
1.13,4.575466111,0,0.175009
1.135,4.564910505,0,0.174103
1.14,4.547317028,0,0.174103
1.145,4.60713389,0,0.17365
1.15,4.533242727,0,0.172744
1.155,4.56139181,0,0.173197
1.16,4.568429201,0,0.173952
1.165,4.578984806,0,0.173952
1.17,4.586022197,0,0.171536
1.175,4.575466111,0,0.174103
1.18,4.582503502,0,0.171687
1.185,4.529724031,0,0.174556
1.19,4.56139181,0,0.174254
1.195,4.571947416,0,0.174254
1.2,4.578984806,0,0.175311
1.205,4.571947416,0,0.175915
1.21,4.571947416,0,0.176217
1.215,4.564910505,0,0.174405
1.22,4.508612339,0,0.17667
1.225,4.571947416,0,0.176066
1.23,4.578984806,0,0.174707
1.235,4.575466111,0,0.177425
1.24,4.56139181,0,0.174858
1.245,4.589540893,0,0.176972
1.25,4.575466111,0,0.175764
1.255,4.543798332,0,0.175009
1.26,4.554354419,0,0.177878
1.265,4.589540893,0,0.174707
1.27,4.56139181,0,0.175009
1.275,4.571947416,0,0.175009
1.28,4.603615194,0,0.174405
1.285,4.533242727,0,0.174254
1.29,4.554354419,0,0.173499
1.295,4.554354419,0,0.173348
1.3,4.589540893,0,0.17214
1.305,4.571947416,0,0.172744
1.31,4.593059588,0,0.172895
1.315,4.596578284,0,0.170177
1.32,4.536761422,0,0.172744
1.325,4.568429201,0,0.170026
1.33,4.568429201,0,0.169573
1.335,4.568429201,0,0.169724
1.34,4.557873114,0,0.168516
1.345,4.571947416,0,0.169573
1.35,4.571947416,0,0.168818
1.355,4.547317028,0,0.168667
1.36,4.550835723,0,0.169271
1.365,4.610652585,0,0.168063
1.37,4.564910505,0,0.168365
1.375,4.571947416,0,0.166855
1.38,4.603615194,0,0.167912
1.385,4.533242727,0,0.167308
1.39,4.540280117,0,0.167761
1.395,4.603615194,0,0.166704
1.4,4.557873114,0,0.167761
1.405,4.571947416,0,0.167308
1.41,4.578984806,0,0.167761
1.415,4.582503502,0,0.171083
1.42,4.56139181,0,0.166704
1.425,4.547317028,0,0.168667
1.43,4.582503502,0,0.167006
1.435,4.568429201,0,0.167006
1.44,4.56139181,0,0.168818
1.445,4.582503502,0,0.168063
1.45,4.571947416,0,0.166704
1.455,4.526205336,0,0.167761
1.46,4.60713389,0,0.166402
